Framework,CVE ID,Reference URLs
,CVE-1999-0095,"['http://seclists.org/fulldisclosure/2019/Jun/16', 'http://www.openwall.com/lists/oss-security/2019/06/05/4', 'http://www.openwall.com/lists/oss-security/2019/06/06/1', 'http://www.osvdb.org/195', 'http://www.securityfocus.com/bid/1']"
,CVE-1999-0082,['http://www.alw.nih.gov/Security/Docs/admin-guide-to-cracking.101.html']
,CVE-1999-1471,"['http://www.cert.org/advisories/CA-1989-01.html', 'http://www.iss.net/security_center/static/7152.php', 'http://www.securityfocus.com/bid/4']"
,CVE-1999-1122,"['http://www.cert.org/advisories/CA-1989-02.html', 'http://www.ciac.org/ciac/bulletins/ciac-08.shtml', 'http://www.securityfocus.com/bid/3', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/6695']"
,CVE-1999-1467,"['http://www.cert.org/advisories/CA-1989-07.html', 'http://www.securityfocus.com/bid/5', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/3165']"
,CVE-1999-1506,"['http://www.cert.org/advisories/CA-90.01.sun.sendmail.vulnerability', 'http://www.securityfocus.com/bid/6']"
,CVE-1999-0084,['https://exchange.xforce.ibmcloud.com/vulnerabilities/78']
,CVE-2000-0388,"['ftp://ftp.freebsd.org/pub/FreeBSD/CERT/advisories/FreeBSD-SA-00%3A17.libmytinfo.asc', 'http://www.securityfocus.com/bid/1185']"
,CVE-1999-0209,['http://www.securityfocus.com/bid/8']
,CVE-1999-1198,"['http://ciac.llnl.gov/ciac/bulletins/b-01.shtml', 'http://www.cert.org/advisories/CA-1990-06.html', 'http://www.iss.net/security_center/static/7141.php', 'http://www.securityfocus.com/bid/11']"
,CVE-1999-1391,"['http://ciac.llnl.gov/ciac/bulletins/b-01.shtml', 'http://www.cert.org/advisories/CA-1990-06.html', 'http://www.iss.net/security_center/static/7143.php', 'http://www.securityfocus.com/bid/10']"
,CVE-1999-1392,"['http://ciac.llnl.gov/ciac/bulletins/b-01.shtml', 'http://www.cert.org/advisories/CA-1990-06.html', 'http://www.iss.net/security_center/static/7144.php', 'http://www.securityfocus.com/bid/9']"
,CVE-1999-1057,"['http://ciac.llnl.gov/ciac/bulletins/b-04.shtml', 'http://www.cert.org/advisories/CA-1990-07.html', 'http://www.iss.net/security_center/static/7137.php', 'http://www.securityfocus.com/bid/12']"
,CVE-1999-1554,"['http://www.cert.org/advisories/CA-1990-08.html', 'http://www.iss.net/security_center/static/3164.php', 'http://www.securityfocus.com/bid/13']"
,CVE-1999-1197,"['http://www.cert.org/advisories/CA-1990-12.html', 'http://www.iss.net/security_center/static/7140.php', 'http://www.securityfocus.com/bid/14']"
,CVE-1999-1115,"['http://www.cert.org/advisories/CA-1990-04.html', 'http://www.ciac.org/ciac/bulletins/a-30.shtml', 'http://www.iss.net/security_center/static/6721.php', 'http://www.securityfocus.com/bid/7']"
,CVE-1999-1258,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/102', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/1782']"
,CVE-1999-1438,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/105', 'http://www.cert.org/advisories/CA-91.01a.SunOS.mail.vulnerability', 'http://www.securityfocus.com/bid/15']"
,CVE-1999-1211,"['http://www.cert.org/advisories/CA-1991-02.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/574']"
,CVE-1999-1212,"['http://www.cert.org/advisories/CA-1991-02.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/574']"
,CVE-1999-1194,"['http://www.cert.org/advisories/CA-1991-05.html', 'http://www.securityfocus.com/bid/17', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/577']"
,CVE-1999-1193,"['http://www.cert.org/advisories/CA-1991-06.html', 'http://www.securityfocus.com/bid/20', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/581']"
,CVE-1999-1123,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/107&type=0&nav=sec.sba', 'http://www.cert.org/advisories/CA-1991-07.html', 'http://www.securityfocus.com/bid/21', 'http://www.securityfocus.com/bid/22', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/582']"
,CVE-1999-1034,"['http://www.cert.org/advisories/CA-1991-08.html', 'http://www.ciac.org/ciac/bulletins/b-28.shtml', 'http://www.securityfocus.com/bid/23', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/583']"
,CVE-1999-1415,"['http://www.cert.org/advisories/CA-91.13.Ultrix.mail.vulnerability', 'http://www.securityfocus.com/bid/27']"
,CVE-1999-1090,"['http://www.cert.org/advisories/CA-1991-15.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/1844']"
,CVE-1999-0498,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0498']
,CVE-1999-1468,"['http://www.alw.nih.gov/Security/8lgm/8lgm-Advisory-01.html', 'http://www.cert.org/advisories/CA-91.20.rdist.vulnerability', 'http://www.iss.net/security_center/static/7160.php', 'http://www.osvdb.org/8106', 'http://www.securityfocus.com/bid/31']"
,CVE-1999-0167,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0167']
,CVE-1999-1493,"['http://www.cert.org/advisories/CA-1991-23.html', 'http://www.securityfocus.com/bid/34', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/7158']"
,CVE-1999-1032,"['http://ciac.llnl.gov/ciac/bulletins/b-36.shtml', 'http://www.cert.org/advisories/CA-1991-11.html', 'http://www.securityfocus.com/bid/26', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/584']"
,CVE-1999-1059,"['http://www.cert.org/advisories/CA-1992-04.html', 'http://www.iss.net/security_center/static/3159.php', 'http://www.securityfocus.com/bid/36']"
,CVE-1999-0627,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0627']
,CVE-1999-1121,"['http://www.cert.org/advisories/CA-1992-06.html', 'http://www.osvdb.org/891', 'http://www.securityfocus.com/bid/38', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/554']"
,CVE-1999-0117,['https://exchange.xforce.ibmcloud.com/vulnerabilities/CVE-1999-0117']
,CVE-1999-1119,"['http://www.cert.org/advisories/CA-1992-09.html', 'http://www.securityfocus.com/bid/41', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/3154']"
,CVE-1999-1142,"['http://sunsolve.sun.com/pub-cgi/retrieve.pl?doctype=coll&doc=secbull/116', 'http://www.cert.org/advisories/CA-1992-11.html', 'https://exchange.xforce.ibmcloud.com/vulnerabilities/3152']"
