URL,Repo Name,Date,CVE ID,CVE Severity,Name,Component Type,Ownership,Num of Contributor,Num of Minor 5%,Per of Minor 5%,Avg of Minor Contri 5%,Num of Minor 10%,Per of Minor 10%,Avg of Minor Contri 10%,Num of Minor 20%,Per of Minor 20%,Avg of Minor Contri 20%,Num of Minor 50%,Per of Minor 50%,Avg of Minor Contri 50%,Days Difference,Release Info,Time Stage,Oss Stage,Age,Release Info Aged,Time Stage Aged,Oss Stage Aged,License Info,License Type,Total Added,Total Deleted,File Size,Is Defective,Is Pre-release,Is Post-release
https://github.com/tensorflow/tensorflow/commit/23d6383eb6c14084a8fc3bdf164043b974818012,tensorflow,2021-08-03T18:20:20Z,CVE-2021-37678,8.8,tensorflow/RELEASE.md,file,0.142620232,171,169,0.988304094,0.004739616,170,0.994152047,0.00504341,171,1,0.005847953,171,1,0.005847953,2097,"[2, 26, 74, 33, 4]",t5,SI,2097,"[2, 26, 74, 33, 4]",t5,SI,Apache,permissive,8686,1973,7166,TRUE,TRUE,FALSE
https://github.com/tensorflow/tensorflow/commit/23d6383eb6c14084a8fc3bdf164043b974818012,tensorflow,2021-08-03T18:20:20Z,CVE-2021-37678,8.8,tensorflow/tensorflow/python/keras/engine/functional.py,file,0.185897436,63,57,0.904761905,0.006522717,60,0.952380952,0.00982906,63,1,0.015873016,63,1,0.015873016,2097,"[2, 26, 74, 33, 4]",t5,SI,1601,"[1, 19, 65, 31, 3]",t5,SI,Apache,permissive,8843,8837,1446,TRUE,TRUE,FALSE
https://github.com/tensorflow/tensorflow/commit/23d6383eb6c14084a8fc3bdf164043b974818012,tensorflow,2021-08-03T18:20:20Z,CVE-2021-37678,8.8,tensorflow/tensorflow/python/keras/engine/functional_test.py,file,0.214814815,30,24,0.8,0.012345679,27,0.9,0.018655693,29,0.966666667,0.027075351,30,1,0.033333333,2097,"[2, 26, 74, 33, 4]",t5,SI,1601,"[1, 19, 65, 31, 3]",t5,SI,Apache,permissive,4470,2577,2505,TRUE,TRUE,FALSE
https://github.com/tensorflow/tensorflow/commit/23d6383eb6c14084a8fc3bdf164043b974818012,tensorflow,2021-08-03T18:20:20Z,CVE-2021-37678,8.8,tensorflow/tensorflow/python/keras/engine/training.py,file,0.138376384,86,81,0.941860465,0.005876725,83,0.965116279,0.007446761,86,1,0.011627907,86,1,0.011627907,2097,"[2, 26, 74, 33, 4]",t5,SI,1601,"[1, 19, 65, 31, 3]",t5,SI,Apache,permissive,17680,16845,3003,TRUE,TRUE,FALSE
https://github.com/tensorflow/tensorflow/commit/23d6383eb6c14084a8fc3bdf164043b974818012,tensorflow,2021-08-03T18:20:20Z,CVE-2021-37678,8.8,tensorflow/tensorflow/python/keras/saving/model_config.py,file,0.272727273,8,0,0,0,6,0.75,0.090909091,7,0.875,0.103896104,8,1,0.125,2097,"[2, 26, 74, 33, 4]",t5,SI,935,"[1, 7, 35, 25, 3]",t4,SI,Apache,permissive,155,51,104,TRUE,TRUE,FALSE
https://github.com/tensorflow/tensorflow/commit/12b1ff82b3f26ff8de17e58703231d5a02ef1b8b,tensorflow,2021-10-06T15:14:33Z,CVE-2021-41196,5.5,tensorflow/tensorflow/core/kernels/pooling_ops_3d.cc,file,0.217391304,14,10,0.714285714,0.043478261,11,0.785714286,0.04743083,13,0.928571429,0.060200669,14,1,0.071428571,2160,"[2, 27, 75, 36, 4]",t5,SI,1924,"[2, 23, 73, 35, 4]",t5,SI,Apache,permissive,1374,254,868,TRUE,TRUE,FALSE
https://github.com/tensorflow/tensorflow/commit/12b1ff82b3f26ff8de17e58703231d5a02ef1b8b,tensorflow,2021-10-06T15:14:33Z,CVE-2021-41196,5.5,tensorflow/tensorflow/python/kernel_tests/pooling_ops_3d_test.py,file,0.481481481,11,8,0.727272727,0.037037037,8,0.727272727,0.037037037,10,0.909090909,0.051851852,11,1,0.090909091,2160,"[2, 27, 75, 36, 4]",t5,SI,1597,"[1, 19, 62, 34, 3]",t5,SI,Apache,permissive,995,455,510,TRUE,TRUE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/grfmt_bmp.cpp,file,0.230769231,9,0,0,0,6,0.666666667,0.076923077,8,0.888888889,0.096153846,9,1,0.111111111,2660,"[0, 0, 0, 0, 0]",t5,TI,2023,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,590,20,570,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/grfmt_exr.cpp,file,0.294117647,9,0,0,0,6,0.666666667,0.058823529,7,0.777777778,0.067226891,9,1,0.111111111,2660,"[0, 0, 0, 0, 0]",t5,TI,2036,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,827,86,741,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/grfmt_jpeg.cpp,file,0.193548387,15,10,0.666666667,0.032258065,11,0.733333333,0.035190616,15,1,0.066666667,15,1,0.066666667,2660,"[0, 0, 0, 0, 0]",t5,TI,2374,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,901,155,733,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/grfmt_jpeg2000.cpp,file,0.285714286,9,0,0,0,6,0.666666667,0.071428571,8,0.888888889,0.089285714,9,1,0.111111111,2660,"[0, 0, 0, 0, 0]",t5,TI,2167,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,575,29,546,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/grfmt_pam.cpp,file,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2660,"[0, 0, 0, 0, 0]",t5,TI,0,"[0, 0, 0, 0, 0]",t1,II,Apache,permissive,719,0,719,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/grfmt_sunras.cpp,file,0.25,7,0,0,0,0,0,0,6,0.857142857,0.125,7,1,0.142857143,2660,"[0, 0, 0, 0, 0]",t5,TI,1870,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,434,9,425,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/utils.cpp,file,0.333333333,5,0,0,0,0,0,0,2,0.4,0.111111111,5,1,0.2,2660,"[0, 0, 0, 0, 0]",t5,TI,1515,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,715,26,689,TRUE,FALSE,FALSE
https://github.com/opencv/opencv/pull/9448,opencv,2017-08-23T12:35:06Z,CVE-2017-14136,6.5,opencv/modules/imgcodecs/src/utils.hpp,file,0.25,5,0,0,0,0,0,0,2,0.4,0.125,5,1,0.2,2660,"[0, 0, 0, 0, 0]",t5,TI,1515,"[0, 0, 0, 0, 0]",t5,TI,Apache,permissive,137,9,128,TRUE,FALSE,FALSE
